"dfb.1_","dfb.pr___","dfb.z__2","dfb.bsn_","dfb.b___","dfb.nx_p","dfb.rm__","dfb.u___","dfb.d___","dfb.hgh_","dfb.p____","dfb.st__","dfb.af__","dfb.pr__","dffit","cov.r","cook.d","hat"
"121",0.000379238465247245,6.09206290715515e-05,0.00102109379517815,0.00387091919834613,-0.000776840773510549,-0.000359419063044115,-6.31071680977678e-05,-0.000540355771932013,-0.000243476391095482,0.00165188954725428,-0.00322499999553467,0.000375875426893318,0.000166535738335106,-0.000143962239329133,0.00463301316767529,1.09570911779882,1.5363223610047e-06,0.0609879164401308
"122",-0.00892011466918094,-0.00123874773737617,-0.0284921163035789,-0.100544197294931,0.021198228774001,0.0145000246095892,0.000701041523285855,-0.00432088124087538,0.00114727196789689,-0.0431678768647506,0.0838419274149907,-0.00938158716149936,-0.000409166502785999,0.00827686410039112,-0.119279614543179,1.08780749945757,0.00101786782680708,0.0601349161071228
"123",-0.000166634734317317,5.11175827566911e-05,-0.000796040240400553,-0.00260274189476095,0.000546052716387057,0.000522546442571368,-0.000129107857739609,-0.00025015785580563,2.38461267984282e-05,-0.00115374591835382,0.00222081071882552,-0.000198326464899933,-6.56063134040016e-05,-0.000153177454966607,-0.00316631478519789,1.09528257836736,7.17568912444223e-07,0.06061754332203
"124",-1.24782071885795e-05,-0.00364379356307485,0.0132605091998283,0.0409084480764399,-0.0079796605228296,-0.0109663260149923,0.00842151123258191,0.000852306859692362,-0.00187173360998816,0.0186944135799999,-0.0363653209711372,0.00213794578373494,0.00238491605467411,0.0173935405079219,0.0549595752929298,1.10260613323195,0.00021617509972905,0.0679544363119244
"125",-0.0082409761927512,0.0015369461415081,-0.0258810743678445,-0.0794830435229651,0.0169605623063248,0.0174077308680108,0.000484816236097062,-0.0115530374195466,0.00145716993139953,-0.0361625198930986,0.0684784837677971,-0.00556790876046697,-0.00154413029492838,-0.000707097515905511,-0.0974539843997091,1.09107803399485,0.000679556082042122,0.060920971247775
"126",-0.00498054544965399,-0.00042234160437648,-0.0153467710997936,-0.0495570396146795,0.0106919357065626,0.00862905975956432,0.000753566512277998,-0.00398508647050606,0.00187379470748797,-0.0217381618174742,0.0418040456317232,-0.00448791852450423,-0.00117746139309605,0.00370934889451253,-0.0595555094993861,1.09327918714664,0.000253834493995715,0.0603720674476749
"127",0.00328261532820225,-0.00511460599017288,0.0166229473232677,0.0462743424713089,-0.00871037408549184,-0.0139562851471805,0.00692908913946004,-0.000998739865124912,-0.00525740000562569,0.022073211131204,-0.0425706078702267,0.00174416821850075,0.00151179883961254,0.0223671850434648,0.0648598865084585,1.10457204831301,0.000301063778954715,0.0699968761614049
"143",0.0115627326970285,-0.00226220063997308,-0.00101232859649725,0.00572242787714079,-0.0406527661356376,-0.0339283196591169,-0.000175032964383827,0.0153047726715489,-0.00679564902833035,0.0146313704589594,-0.0030355571797987,0.00894040124056822,-0.0116723007448297,-0.0218200540533809,-0.0711614392249501,1.1033677178049,0.000362397233427731,0.0693032188738502
"146",-0.0198630137099857,-0.0084826708758663,-0.0014721844313482,-0.000382960712716709,-0.0103498475047117,0.0504217004636452,0.0248026985538386,-0.0216081902657546,0.0121889138576293,-0.0206395906411773,-0.00369627844513961,-0.0144058424107116,-0.0262185837350134,0.03770865194834,0.0931043746362768,1.08538573050111,0.000620249601834011,0.0559894164360593
"156",0.011806162962393,-0.0130319586276635,0.0113977823783724,0.0077219695274663,-0.158358364283007,-0.150672211954853,0.00697823186944347,0.0615793059733706,-0.0402981113597038,0.0793696483775381,-0.0110603730465096,0.00914256516315697,0.145935526194488,0.022413303608289,-0.302991364620198,1.09370164905259,0.00655761536902043,0.0852766599873487
"157",-0.00565716209880853,0.000944471527577112,-0.000912851902121004,-0.000333506612942684,0.00326881316027584,-0.0157768507099296,0.00927371164872978,0.000770952495026566,-0.00389487182306217,0.00478115044116875,0.00210773034256521,0.00485604728586193,0.0164659371343494,0.00839804672960725,-0.0301555723682067,1.10106544467663,6.50847624860026e-05,0.065890522883427
"162",0.0630482101019531,0.0618077021381815,-0.0828060083486521,0.280412056222003,-0.127924413910998,-0.0994354940416153,0.0985803651928623,0.134130959384405,0.0431285021011115,-0.065917370126571,0.0421794723686819,-0.231801288924077,0.0062159410947976,-0.225872837415128,0.554940569005261,0.84721485411742,0.0216807775124478,0.0362917594327957
"163",-0.0115047614512,0.073209196777923,-0.0731266229584508,0.171378901160025,0.287193793532141,-0.0881659776311386,0.114229692296457,0.108719999987272,0.065010955235101,-0.095413609356323,0.0807972451643455,-0.12789242856963,0.00776197862395906,-0.118967606313453,0.507510827893357,0.968094588782551,0.0182777334057464,0.0574189664250257
"167",-0.032244336465516,0.0644363031249403,-0.0999172638306756,0.279699088123818,-0.125117197470946,-0.099110085086535,0.228943326228492,0.132829376740256,0.0765796251969869,-0.0835212697306344,0.0484579927426445,-0.213901843242626,0.0172749744415889,-0.11885815941065,0.564810918887364,0.86242661494046,0.0224814268517171,0.0398961692429578
"187",-0.122487704062234,0.0271291148988216,-0.102424320193544,-0.107934570381532,-0.0650537643038872,0.0546763575555418,0.261065657784927,-0.116047151892556,-0.123682465763235,0.020053300427802,-0.0834974760885055,0.084976853653564,0.00898877472033868,0.0675078216534894,0.45463759784925,0.811303712753246,0.0145219969143609,0.0219793075444968
"215",0.0312745873737971,-0.101462994565177,-0.0889701647259827,0.0132980435527768,0.0199304454787792,-0.0347006253672571,0.162584656612793,-0.587323579991142,-0.228499176940319,0.0173541498333294,-0.0822823510826878,-0.0247981708437714,0.0328523112099515,0.589448792448905,0.780457598837964,0.893315762295173,0.0429245708411504,0.0734044900524013
"229",-0.0632433883181584,-0.00984944725476384,-0.140229140564994,-0.0199040156771485,-0.0451829016453139,0.0623679830334176,0.221601176518738,-0.325839912138917,-0.122623083480991,0.0308764990960778,-0.0286824299517783,0.0010436497442039,0.0231746092818493,0.091547188709137,0.439745928861625,0.900297558102915,0.0136775950757278,0.0319636834085535
"234",-0.130425763431138,-0.00342759585709136,-0.124114866520493,-0.00454782164676548,-0.0660581573840877,-0.00891112826520848,0.267473769235696,0.0206371921735861,0.0299231339501679,0.0382312274150611,-0.0309463152579949,-0.00881079431146163,0.0155727014276273,0.0307539448018668,0.366971426724131,0.896285922637652,0.00952827771381318,0.023112374454716
"254",-0.439679885725425,0.0655924317611302,-0.263854713336465,0.133784180405117,-0.0180829226843374,0.184684850509308,0.493919084898351,-0.232648524093157,0.389813423781135,-0.046509546746782,0.0183056135448953,0.108593310800893,0.0704885433673811,0.175415514734489,0.689533205548062,0.872710768017628,0.0334921790004358,0.0568416110228099
"365",0.585515270521076,0.0745636707451453,0.084464764331032,-0.0161140712026993,-0.534481277414988,-0.235758042938044,-0.611824176023665,0.15781231495644,-0.112056266205728,0.0476248777951204,-0.127266698298285,-0.268749553470153,-0.101527343605862,-0.0644202706888424,-0.996826873105556,0.795680001174212,0.0694296631489212,0.076722562332982
"366",0.521672704577965,-0.121040757286745,0.173589410095836,-0.0712741399754267,-0.056325468516646,0.0641625318428004,-0.865179375981669,0.199480761972507,-0.128267401321131,0.240196381470179,-0.0640640050627457,-0.0507779056029619,-0.0242046829775148,-0.699486587158711,0.977436000197921,0.891467496434727,0.0671842520329322,0.0985149257663295
"368",0.577910798633476,-0.016506507390005,0.134114308972589,-0.0278985272922996,-0.0136068726598217,-0.190750571479596,-0.683103123149029,0.268134344081591,-0.141351462812674,0.16207325977107,-0.0450246489311036,-0.0986146753038008,-0.343154495557461,-0.508218010045116,0.802488262425035,0.908422938904039,0.0454118116337935,0.0804301874805973
"369",0.816238376178659,-0.190822912296686,0.272477449709064,0.049533641474723,-0.149418227676997,-0.282606925853729,-1.15907429627469,0.614577623915789,-0.270365919180788,0.437292694962518,-0.0440137965871795,-0.119829509777533,0.0198219494691766,-1.24868254584361,1.57455848274222,0.421408086637263,0.165673689698188,0.0663309352423578
"370",0.072778244868304,-0.0525675275169286,0.0632242668567099,0.0129288354909961,0.600127199004455,-0.139225947008595,-0.154809701262701,0.194652708766415,-0.0874394987852924,0.101167057842109,0.103226628165513,0.0858514487023414,0.0454253559336674,-0.412809382610502,0.891572403079699,0.722141901931293,0.0552625543082023,0.051978827557574
"371",-0.00141053367932126,-0.0174730837535547,0.0493091843522006,0.0200564604108628,0.52484223297966,-0.116174944611104,-0.0511477578961731,0.159020171416433,-0.0800498482065854,0.0714594395555945,0.0997983288943498,0.0943559375910853,0.080679865106206,-0.339010161227139,0.794830948032858,0.788958783714328,0.0441963909363854,0.0527601732939659
"372",0.208911960189424,-0.0552834765360396,0.133831365236962,0.0697550907574451,-0.123241179247536,-0.228149571004047,-0.247937555184158,0.295244011382768,-0.197635400580887,0.240159622797672,0.0129109354284088,-0.0204927338055685,0.128693066137186,-0.464249346177624,0.794402378795392,0.456043397612697,0.0425553111770262,0.0205007501184773
"373",0.225900779054374,-0.0372284843578106,0.138630158366028,-0.0934006711580112,0.875025545303318,-0.0748081319800354,-0.418697977641905,0.0868097548848284,-0.213731630170828,0.127155520732936,0.110757098186626,0.116009865927535,0.0140037653788584,-0.482919223733992,1.17920249987251,0.492220047462693,0.094096511191173,0.0467922873359081
"375",0.149526627225927,0.0192646571462108,0.0937372485623424,-0.0945917446849317,0.00828313392398811,-0.129414039183347,-0.171185931025815,-0.0645347966874646,-0.164895666251179,0.119707615905565,-0.0219999224880717,-0.104407751534607,0.227202427801529,0.32872759835896,0.633106755518256,0.861073449614936,0.028227538082182,0.0475991053889459
"381",0.117786787766072,-0.647059356633053,0.053820362953726,-0.0327892056951106,-0.00912460618832218,-0.0419020935158699,-0.109540683447577,0.0234930200701775,-0.0577088260357728,0.147553971243551,-0.0163744327800469,-0.0307722879835109,-0.155721739387068,0.0515039485427367,-0.666764123677574,1.44049064224932,0.0317547670190302,0.305959490505463
"402",0.103407502650185,-0.0327559226373435,-0.0181354846800477,0.00660601845997503,0.0370559398493184,-0.0229307814299597,-0.0862093489033114,-0.00470586554014204,0.00691555392326132,-0.0514407776842198,-0.00397375687903476,-0.0178794908174673,-0.15446458729181,-0.0704704670454875,-0.268221088243292,0.90249022735455,0.00509614458217419,0.0138735744491664
"406",0.0259972919164315,-0.303728106725924,0.0114678479372409,-0.00147732330801649,-0.00487488716032795,-0.0181049333606151,-0.00255364095477434,-0.00140774854052395,-0.0201582799320678,0.0553890841534584,-0.00177253622454997,-0.00472306854715696,-0.0825195270253752,0.0234946070336065,-0.317131828487908,1.2009876257702,0.00719044546294449,0.15643250640577
"411",-0.0062818300088596,-0.0136093179474875,-0.000109253783846664,-0.00116417228334645,-0.00029911704430491,0.00364361930262425,0.00519898134550064,-0.00439140216430522,0.000501214680311409,0.00208490953118315,4.20061398729592e-05,0.000398146727053495,0.00824170660735063,0.00932709477889291,-0.0189475987967846,1.17540054433785,2.56957741628426e-05,0.124706994128615
"413",0.430275683545583,-0.036492007345955,0.0755206629485556,-0.0501853302842768,0.044544456622655,-0.385071205856148,-0.223112954804704,0.0564885289811459,-0.191421365365554,0.10409994864664,-0.0239555402610473,-0.148755031201716,-0.492830489219312,0.249827721829941,0.846797381364717,0.763176613384137,0.0500411664823797,0.0539257656515544
"415",0.13130318075902,0.467315804940737,0.0131111261590736,-0.0727710418445953,0.0496873679739399,-0.0419612009281832,-0.102230568925552,-0.0361768143644811,-0.0158626192502108,-0.0753703832220342,-0.024764774763237,-0.0406485318888629,-0.181608634126025,0.161332216074392,0.70134648787685,0.932848173522913,0.0347696424090479,0.0738717543546373
"419",0.0116025522944661,0.275075576138696,-0.0169090970191337,0.00469595866521397,0.0117965105522433,0.00446305386968103,-0.00409312260678784,0.0180275949825539,0.0289458962116772,-0.0659424579030591,-0.00065435286027222,0.00930856106076489,-0.0710296897495731,-0.0549863930695127,0.300699549769681,1.2565253859911,0.00646666749237071,0.190100964069356
"489",-0.0147407891773193,-0.00362418227643621,-0.00320416155220262,0.0304136223113251,0.00353925522033171,-0.0438086948678789,0.000860117280867181,0.00405369671111086,-0.0130032109035637,-0.153998849100958,0.153178198949897,0.00299368631432749,0.0188926567279202,-0.00612259795049311,0.207268367263983,1.09452145500907,0.00307148099373067,0.0742086143001422
